speed,age,miles,group,risk
135.0,59.0,36.0,1,0.8412959725432343
89.0,35.0,22.0,1,0.43479349265744666
140.0,39.0,48.0,0,0.6474485275095339
117.0,57.0,38.0,2,0.6137671315867557
142.0,36.0,48.0,0,0.905808162357723
108.0,33.0,24.0,2,0.1614226025526875
133.0,34.0,53.0,0,0.726111414834478
140.0,32.0,50.0,0,0.48173146518451815
117.0,60.0,26.0,2,0.21094205070060976
104.0,46.0,1.0,2,0.4069401275179237
99.0,28.0,21.0,2,0.21103761806997073
123.0,54.0,57.0,1,0.7927662913852598
140.0,34.0,51.0,0,0.40799258829485613
133.0,42.0,44.0,2,0.22861203357905163
107.0,58.0,16.0,2,0.057597432920158176
127.0,43.0,53.0,1,0.7263840216320576
141.0,39.0,53.0,0,0.5108053810823175
138.0,55.0,34.0,2,0.0
127.0,25.0,26.0,1,0.2477336312168959
123.0,45.0,9.0,2,0.9716124951372189
114.0,73.0,19.0,0,0.7254702977366867
151.0,45.0,42.0,2,0.8411822939564306
118.0,79.0,29.0,0,0.7929068594462818
123.0,86.0,28.0,0,0.5643219754354281
126.0,57.0,45.0,1,0.35990870569407285
100.0,23.0,18.0,1,0.6334335525424158
126.0,61.0,30.0,1,0.5278496480103303
133.0,44.0,40.0,1,0.4057417768451715
133.0,32.0,45.0,1,0.7158590847308103
135.0,40.0,42.0,2,0.39149462922321876
129.0,45.0,20.0,2,0.6238961090259022
122.0,50.0,49.0,1,0.0
99.0,25.0,6.0,1,0.7167510577112955
100.0,48.0,29.0,2,0.18813391195409307
124.0,48.0,52.0,1,0.5136570895942902
138.0,37.0,50.0,0,0.7659832083887941
120.0,73.0,38.0,1,0.6385540774344097
99.0,16.0,20.0,1,0.38686912244081156
108.0,30.0,15.0,2,0.4777138613660443
100.0,28.0,19.0,1,0.6735690180826591
145.0,44.0,42.0,2,0.13252001585251066
149.0,39.0,46.0,2,0.6185585442178585
105.0,58.0,39.0,1,0.22449893070402543
108.0,31.0,13.0,2,0.22512182090606178
140.0,32.0,48.0,0,0.7076414070205728
105.0,37.0,6.0,2,0.30049362393714596
142.0,46.0,36.0,2,0.6947674481206885
112.0,48.0,21.0,2,0.3234409529841291
132.0,99.0,16.0,0,0.8135087770628404
130.0,43.0,46.0,2,0.7956239693696984
106.0,57.0,36.0,2,0.2896715089124363
119.0,99.0,27.0,0,0.4906997672941876
91.0,49.0,27.0,2,0.6197691187286267
137.0,98.0,23.0,0,1.0
